DateTime,Logined Users,Machine Load
2022-10-14 10:35:28,8,107.75
2022-10-14 10:36:46,8,89.25
2022-10-14 10:40:41,8,55.25
2022-10-14 10:40:52,8,54.5
2022-10-14 10:46:11,8,37.25
2022-10-14 10:51:13,8,30.75
2022-10-14 10:56:21,8,28.5
2022-10-14 11:01:26,8,28.0
2022-10-14 11:06:17,8,26.75
2022-10-14 11:11:26,8,29.25
2022-10-14 11:16:21,8,28.0
2022-10-14 11:21:26,8,28.25
2022-10-14 11:26:21,8,28.5
2022-10-14 11:31:17,8,27.25
2022-10-14 11:36:17,8,82.5
2022-10-14 11:41:26,8,97.75
2022-10-14 11:46:21,8,85.75
2022-10-14 11:51:26,8,101.75
2022-10-14 11:56:21,8,89.5
2022-10-14 12:01:26,8,88.0
2022-10-14 12:06:17,8,100.5
2022-10-14 12:11:17,8,103.0
2022-10-14 12:16:21,8,104.0
2022-10-14 12:21:17,8,104.5
2022-10-14 12:26:17,8,105.25
2022-10-14 12:31:26,8,107.75
2022-10-14 12:36:17,8,106.75
2022-10-14 12:41:26,8,107.5
2022-10-14 12:46:21,8,105.75
2022-10-14 12:51:26,8,106.0
2022-10-14 12:56:26,8,108.75
2022-10-14 13:01:26,8,105.75
2022-10-14 13:06:26,8,105.0
2022-10-14 13:11:17,8,105.5
2022-10-14 13:16:26,8,107.0
2022-10-14 13:21:17,8,105.0
2022-10-14 13:26:21,8,105.25
2022-10-14 13:31:26,8,109.0
2022-10-14 13:36:17,8,106.25
2022-10-14 13:41:26,8,105.5
2022-10-14 13:46:21,8,105.0
2022-10-14 13:51:17,8,106.25
2022-10-14 13:56:21,8,110.25
2022-10-14 14:01:26,8,107.0
2022-10-14 14:06:17,8,104.75
2022-10-14 14:11:26,8,106.25
2022-10-14 14:16:21,8,108.75
2022-10-14 14:21:26,8,108.75
2022-10-14 14:26:21,8,63.25
2022-10-14 14:31:17,8,40.25
2022-10-14 14:36:17,8,31.5
2022-10-14 14:41:26,8,28.25
2022-10-14 14:46:21,8,27.0
2022-10-14 14:51:26,8,27.25
2022-10-14 14:56:21,8,27.5
2022-10-14 15:01:26,8,27.5
2022-10-14 15:06:17,8,28.75
2022-10-14 15:11:17,8,27.5
2022-10-14 15:16:21,8,26.5
2022-10-14 15:21:17,8,25.75
2022-10-14 15:26:21,8,27.0
2022-10-14 15:31:26,8,26.5
2022-10-14 15:36:21,8,27.5
2022-10-14 15:41:26,8,27.75
2022-10-14 15:46:21,8,27.75
2022-10-14 15:51:26,8,27.25
2022-10-14 15:56:21,8,28.0
2022-10-14 16:01:17,8,28.25
2022-10-14 16:06:17,8,27.25
2022-10-14 16:11:26,8,27.0
2022-10-14 16:16:21,8,28.0
2022-10-14 16:21:26,8,27.75
2022-10-14 16:26:21,8,27.0
2022-10-14 16:31:26,8,27.25
2022-10-14 16:36:17,8,26.75
2022-10-14 16:41:17,8,26.75
2022-10-14 16:46:21,8,26.0
2022-10-14 16:51:17,8,26.75
2022-10-14 16:56:21,8,26.5
2022-10-14 17:01:26,8,26.75
2022-10-14 17:06:21,8,27.5
2022-10-14 17:11:26,8,26.5
